Incident Type,Officer Action,Subject Behavior,De-escalation Tactic,Weapon Involved,Incident Outcome,Bodycam Transcript
Domestic Dispute,Used Calm Tone,Threatened Officer,Maintained Distance,Firearm,Not Injured,"**Bodycam Transcript - Incident #2023-10-27-042**

**Officer:** Officer Miller, Badge #472

**Date:** October 27, 2023

**Time:** 22:45:12

**(00:00:00) (Sound of sirens in the distance, then fading)**

**22:45:15 Officer Miller:**  (Approaching the residence, knocking on the door)  Police Department, open the door!

**(00:00:20) (Sound of shouting and glass breaking inside)**

**22:45:25 Officer Miller:**  Police Department! We're aware of the disturbance. Open the door now!

**(00:00:30) Door opens slightly revealing a man, MARK JENKINS (40s, agitated), holding a handgun.  He's visibly upset and sweating.**

**22:45:32 Mark Jenkins:** (Loudly, slurred speech)  Stay back, cop!  This is my house!  You got no business here!

**22:45:35 Officer Miller:** (Maintaining a calm tone, keeping distance) Sir, I understand you're upset, but please put the gun down.  We need to talk.

**22:45:38 Mark Jenkins:**  Talk?  I'll talk to you with this! (He waves the gun slightly)  Get off my property!

**22:45:41 Officer Miller:** Sir, I'm not going to get closer.  Just slowly put the gun down, okay?  We can work this out.  Just put the gun down.

**(00:00:45) (Sound of a woman crying faintly from inside the house)**

**22:45:47 Mark Jenkins:** (Shouting)  She's lying! She’s lying about everything!

**22:45:50 Officer Miller:**  Sir, I understand you’re feeling angry right now, but we need to make sure everyone is safe. Please, slowly lower the gun.

**(00:00:55) Mark Jenkins slowly lowers the gun, but still holds it.  He visibly struggles to control his breathing.**

**22:45:57 Officer Miller:** That's good, sir.  Just set it down slowly on the ground, away from you.

**(00:01:02)  Mark Jenkins sets the gun on the ground, several feet away from him.**

**22:41:05 Officer Miller:** Okay, good.  Now, sir, I'm going to ask you to step away from the doorway.  Hands where I can see them, please.

**(00:01:10) Mark Jenkins steps back slowly, hands raised.  Additional units arrive on the scene.**

**22:01:15 Officer Miller:** (To backup officers)  He’s secured.  Suspect is Mr. Mark Jenkins.  Secure the weapon.

**(00:01:20) Backup officers secure the weapon.  A female voice is heard from inside, confirming she is safe and wants to speak with the police.)**

**22:01:25 Officer Miller:** (To Mark Jenkins) Sir, you’re going to be taken into custody. You have the right to remain silent... (Standard Miranda Rights are read)

**(00:01:50)  Sound of handcuffs being applied. Backup Officers begin to secure the scene.  Ambulance sirens are heard in the distance)**

**22:02:00 (End of Recording)**
"
Domestic Dispute,Defensive Positioning,Non-compliant,Requesting Cooperation,Knife,Not Injured,"**Bodycam Transcript - Incident #2023-10-27-0042**

**Officer:** Officer Miller, Badge #472

**Time:** 20:45:12

**(Audio: Siren wail fading, car doors slamming, footsteps on gravel)**

**20:45:27 Officer Miller:**  ""Ma'am, sir, police!  Stay where you are!""

**(Audio:  Yelling, indistinct shouting from inside the house)**

**20:45:35 Officer Miller:** ""This is the police! We've received a report of a domestic disturbance. Come out with your hands raised slowly and empty.""

**(Audio:  Crashing sound from inside the house. Woman's scream)**

**20:45:42 Officer Miller:** (drawing weapon, aiming low) ""Sir, I'm ordering you to come out with your hands up!  I see a knife in your hand.""

**20:45:48 Subject (Male):**  ""Get off my property! This is my house!  Mind your own damn business!""

**(Audio:  Indistinct shouting, heavy breathing)**

**20:45:55 Officer Miller:** ""Sir, I understand you're upset, but I need you to cooperate.  Drop the knife. Slowly. Put your hands up where I can see them. We just want to make sure everyone's safe.""

**20:46:02 Subject:** ""Stay back! You're not coming in here!""  **(Sound of the subject pacing rapidly inside)**

**20:46:10 Officer Miller:** (To backup officer arriving) ""Officer Jones, we've got a male subject armed with a knife, refusing to cooperate.  He's agitated, but hasn't made any direct threats towards us yet. Maintain defensive positioning.""

**20:46:18 Officer Jones:** ""Copy that, Miller.  I've got your six.""

**20:46:25 Officer Miller:** (To subject) ""Sir, put the knife down.  We can work this out peacefully.  Just drop the knife and come out slowly. There's no need for anyone to get hurt.""

**(Audio:  Sound of glass breaking from inside)**

**20:46:37 Officer Miller:** ""Sir, I'm warning you, if you don't drop the knife I will be forced to use other means to subdue you.  This isn't helping anyone.  Let's talk.""

**20:46:49 Subject:** (Voice trembling) ""I... I just...  She...  It's her fault...""

**20:46:55 Officer Miller:** ""Sir, I understand you're upset, but we can’t help you if you don’t comply. Put the knife down.  Slowly. Now.""

**(Audio:  Subject slowly lowers the knife. He throws the knife to the ground.  Sound of it clinking.)**

**20:47:12 Officer Miller:** ""Okay, good. Now slowly walk towards us with your hands up above your head.  Slowly. Keep your hands where I can see them.""

**(Audio:  Subject slowly exits the house, hands raised.  He is cuffed by both officers.)**

**20:47:45 Officer Miller:** ""You're under arrest. You have the right to remain silent..."" *(Continues with Miranda rights)*

**(Audio:  Additional officers arrive on scene.  Sounds of ambulance sirens in distance.)**

**20:48:17 Officer Miller:** (Into radio) ""Requesting paramedics and additional units to secure the scene. Subject in custody. No injuries reported.""


**(End of Transcript)**
"
Disturbance Call,Non-threatening Gestures,Attempted to Flee,Calming Language,Blunt Object,Not Injured,"**Bodycam Transcript - Incident #23-10-274**

**Officer:** Officer Miller, Badge #472

**Date:** October 27, 2023

**Time:** 22:45:00

**(00:00:00)  [Sound of police car siren fading]**

**Officer Miller:** (Approaching a residence, camera slightly shaky) Dispatch, unit 472 arrived on scene at 14 Oak Street.  Reporting party stated a disturbance involving a male subject wielding a blunt object.  I'm approaching the residence cautiously.

**(00:00:15) [Sound of wind and distant traffic]**

**Officer Miller:** (Knocking on the door) Police, open up!

**(00:00:25) [Sound of a window being hastily opened upstairs]**

**Officer Miller:** (Shouting)  Police! Show yourself! We have reports of a disturbance.

**(00:00:30) [Sound of hurried footsteps upstairs, then a window slamming shut]**

**Officer Miller:** (To camera) Subject is attempting to flee.  I'm securing the perimeter. (To self, quietly)  Stay calm, Miller.

**(00:00:40) [Sound of Officer Miller running around the side of the house]**

**Officer Miller:** (Shouting)  Stop! Police! Don't run!

**(00:00:45) [Sound of heavy breathing, rustling leaves]**

**(00:00:50) Officer Miller:** (Calmly, approaching the subject who is hiding behind a bush)  Sir, I understand you're upset. It's alright. Just put your hands where I can see them slowly.

**(00:00:55) Subject:** (Muffled, scared)  Leave me alone!

**Officer Miller:**  Sir, we just want to make sure everyone's safe. We're not here to hurt you.  Just slowly show me your hands.  

**(00:01:00)  [Subject slowly raises his hands, a baseball bat is visible in his other hand.]**

**Officer Miller:** Okay, good.  Slowly drop the bat on the ground.  Slowly...that's it.  Good job.

**(00:01:10) [Subject drops the bat.]**

**Officer Miller:** (Approaching cautiously) Now, can you tell me what's going on?  Why were you so upset?  Let's just talk about it.

**Subject:** (Shaking, voice trembling) I...I just lost it.  Argument with my brother.

**Officer Miller:** Okay, I understand.  It’s alright to be angry, but it’s important to not resort to violence.  We can help you with resources if you'd like to talk more about that argument.

**(00:01:30) [Sound of backup officers arriving]**

**Officer Miller:** (To backup officers)  Subject is secured.  No injuries.  He’s just having a tough time.  We can help him.

**(00:01:40) [Backup officers handcuff the subject for safety.]**

**Officer Miller:** (To subject)  Okay, sir, we’re going to take you down to the station for a short interview to understand what happened. We’ll try to get you some help with this anger management.  Everything will be okay.

**(00:01:50) [End of recording]**
"
Disturbance Call,Verbal Commands,Aggressive,Non-threatening Gestures,Taser,Injured,"**Bodycam Transcript - Incident #2023-10-27-0042**

**Officer:** Officer Miller, Badge #472

**Date:** October 27, 2023

**Time:** 22:45:12

**(00:00:00)  Sounds of sirens and approaching patrol car**

**(00:00:15)  Car doors slam, Officer Miller exits vehicle. Background noise of street traffic.**

**Officer Miller:**  (Approaching the scene, visibly agitated subject, MARK JONES, identified through later dispatch)  ""Sir, Police!  Freeze! Hands where I can see them!""

**(00:00:20) Jones is pacing erratically, shouting incoherently. Sounds of broken glass nearby.**

**Jones:** (Shouting) Get away from me! You pigs!  You'll leave me alone!

**(00:00:25) Officer Miller adopts a non-threatening posture, keeping hands visible, palms open.**

**Officer Miller:** ""Sir, I understand you're upset.  But we need to talk.  Slowly put your hands up."" (Officer Miller slowly raises his hands a few inches.)

**(00:00:30) Jones lunges towards Officer Miller, swinging his arms wildly.**

**Jones:** (Screaming) I'll kill you!

**(00:00:32) Officer Miller draws his taser, maintaining a calm but firm tone.**

**Officer Miller:** ""Taser! Taser! Drop to the ground!  You've been warned!""

**(00:00:34)  Jones continues advancing aggressively.  A loud crack is heard as the taser is deployed.**

**(00:00:35) Jones falls heavily to the ground, groaning in pain.**

**(00:00:37) Sound of heavy breathing from Jones.**

**Officer Miller:** (Approaching cautiously) ""Sir, are you okay?  Stay still."" (Officer Miller radios for backup.)  ""Dispatch, Code 3, Officer needs backup. Subject down after taser deployment at 124 Elm Street.  Subject resisting arrest.  Requesting EMS.""

**(00:00:45)  Sounds of sirens approaching.**

**(00:00:50) Officer Miller checks Jones for injuries.  Jones is groaning and clutching his side.**

**Officer Miller:** ""Sir, medical is en route. Just stay still.""

**(00:01:00)  Backup officers arrive on the scene.**

**(00:01:10)  EMS arrives and attends to Jones.**

**Officer Miller:** (To EMS)  ""He was highly agitated, resisted arrest, and advanced on me aggressively.  I deployed my taser.  Check his pulse and vitals. He may have an injury to his side, but he seemed to fall awkwardly too. There may be something else we haven't found yet.""

**(00:01:30)  Further dialogue between officers and EMS personnel. Sounds of medical equipment.**


**(00:02:00)  End of recording.  The video shows Jones being loaded into an ambulance.**


**Officer's Note (added later):** Subject sustained a fractured clavicle and minor abrasions.  Subject was highly intoxicated and appeared to be experiencing a mental health crisis.  Bodycam footage will be submitted as evidence. Incident report filed.  Additional witness statements were obtained.
"
Traffic Stop,Requested Backup,Cooperative,Maintained Distance,Blunt Object,Arrested Peacefully,"**Bodycam Transcript: Incident #20231027-047**

**Officer:** Officer Miller, Badge #472

**Date:** October 27, 2023

**Time:** 22:45:12

**(00:00:00)  SOUND of car approaching, siren briefly chirps then off**

**Officer Miller:** (To self, muttering)  Another late-night runner...  Alright, lights on.

**(00:00:15) SOUND of car door opening, slight wind noise**

**Officer Miller:**  Sir, can I see your driver's license and registration, please?

**Subject:** (Slightly nervous) Yes, officer.  Just a sec.

**(00:00:30) SOUND of papers rustling**

**Subject:** Here you go.

**Officer Miller:** Thank you, sir.  Do you know why I pulled you over?

**Subject:**  I... I think my taillight’s been out for a while.  I haven’t had time to get it fixed.

**Officer Miller:** (Checks documents) Okay.  Your license is clean.  I’m going to run your registration.  (Muttering into radio)  Unit 472, requesting backup for a vehicle stop at Elm and Maple.  Suspect appears cooperative, but I’ve noticed a baseball bat in the back seat.  Requesting backup for officer safety. Over.

**(00:01:00) SOUND of radio static, then dispatcher response: “Copy that, 472.  Units responding.”)

**Officer Miller:** (To Subject, maintaining distance) Sir, I’m just going to wait for backup to arrive.  It’s standard procedure when we observe potential weapons. Could you please keep your hands visible?

**Subject:** (Slightly tense but calm)  Yeah, of course, officer.  No problem.

**(00:01:30) SOUND of approaching sirens in the distance**

**Officer Miller:** (To Subject, calm and low voice)  Just stay calm, okay? Everything will be alright.  I appreciate your cooperation.

**Subject:**  I am calm, officer.  I was just late getting home from work.

**(00:02:00)  SOUND of sirens getting closer, car doors slamming, Officer Miller looks to the side**

**Officer Miller:** (To Subject)  Officer Johnson is arriving now. Everything is fine, just cooperate, and we can get this sorted quickly.

**(00:02:30) SOUND of approaching footsteps; backup officer arrives.**

**Officer Johnson:** Miller, you good?

**Officer Miller:**  Yeah, Johnson.  Just a routine stop, but we have a bat in the back.  Subject’s been cooperative so far.

**(00:02:45)  Officer Johnson approaches the vehicle, maintaining distance**

**Officer Johnson:** Sir, please step out of the vehicle.  Slowly and with your hands visible.

**Subject:** (Complies) Okay.

**(00:03:10) SOUND of subject exiting the car, hands raised**

**Officer Johnson:** (After a pat-down)  Alright, Miller, we’re going to secure the bat.

**(00:03:30) SOUND of baseball bat being removed from the car,  cuffs clicking**

**Officer Miller:** (To Subject) Sir, you are under arrest for failure to maintain proper vehicle equipment.  You have the right to remain silent... (continues reading Miranda rights)

**(00:04:00) SOUND of subject being escorted to a police car**

**Officer Miller:** (Into radio) Unit 472, arrest complete, subject in custody without incident. Requesting a tow truck. Over.

**(00:04:15) SOUND of radio static, dispatcher response)

**(00:04:30)  End of recording.**
"
Suspicious Person,Verbal Commands,Attempted to Flee,Offering Assistance,,Escalated to Force,"**Bodycam Transcript - Incident #20231027-0047**

**Officer:** Officer Miller, Badge #472

**Date:** October 27, 2023

**Time:** 23:47:12

**(00:00:00)  [SOUND of car doors closing and engine shutting off]**

**23:47:15** Officer Miller: (Approaching a man loitering near a closed business)  ""Sir, can I help you?""

**23:47:17** Subject: (Muttering, looking around nervously)  ""Uh...no. I'm just...waiting.""

**23:47:19** Officer Miller:  ""Waiting for whom?  It's late, and this business is closed.  Can I see some ID?""

**23:47:22** Subject:  (Turns quickly, starting to walk away) ""I...I don't have any.""

**23:47:24** Officer Miller:  ""Sir, stop! Police!  I need to speak with you.""

**(00:00:25) [SOUND of hurried footsteps]**

**23:47:26** Subject: (Runs)

**23:47:27** Officer Miller: ""Stop! Police! Don't run!""

**(00:00:28) [SOUND of Officer Miller's heavy breathing]**

**23:47:30** Officer Miller: (Running after the subject) ""Sir, I'm not going to hurt you. Just stop running.  I can see you're upset. Is there something I can help you with?""

**(00:00:33) [SOUND of the subject stumbling, followed by grunts]**

**23:47:35** Subject: (Gasping for air) ""Leave me alone!""

**23:47:37** Officer Miller: (Catching up to the subject) ""Sir, I'm offering you assistance. I’m concerned for your well-being. Are you lost? Do you need a ride somewhere?""

**23:47:40** Subject: (Swings his arm wildly) ""Get away from me!""

**(00:00:41) [SOUND of a struggle, muffled cries]**

**23:47:43** Officer Miller: ""Police!  Get on the ground!  I'm going to need backup!""  (Radio chatter begins in the background)

**(00:00:45) [SOUND of consistent grunting and shouting; a clear thud as the subject is taken down]**

**23:47:50** Officer Miller: (Breathing heavily)  ""Suspect is restrained. Requesting medical and backup.""

**(00:00:55) [SOUND of sirens approaching and more radio chatter]**

**23:48:00** Officer Miller: (To the suspect) ""Stay still, sir, you are under arrest.""

**(End of Transcript)**
"
Domestic Dispute,Used Calm Tone,Aggressive,Requesting Cooperation,Blunt Object,Not Injured,"**Bodycam Transcript - Incident #2023-10-27-0042**

**Officer:** Officer Miller, Badge #472

**Date/Time:** October 27, 2023, 22:45

**(00:00:00) [Sound of sirens in the distance, then fading]**

**Officer Miller:** (Approaching residence, knocking)  Police, open the door.

**(00:00:15) [Sound of door opening, muffled shouting inside]**

**Officer Miller:** Ma'am, sir, can you please step outside? I'm responding to a report of a domestic disturbance.

**(00:00:20) A large man, approximately 6’2”, emerges, holding a broken wooden chair leg. He is visibly agitated, breathing heavily.)**

**Subject (John Smith):**  Get out of here! This is none of your business!

**(00:00:25) [Sound of woman crying faintly from inside the house]**

**Officer Miller:** Sir, I understand you're upset, but I need you to put that down.  Please place the chair leg on the ground.  This is for everyone’s safety.

**John Smith:**  (Shouting) Stay back!  She deserves this!  She... she...

**(00:00:35) Officer Miller maintains a calm demeanor and posture. He keeps his hands visible.)**

**Officer Miller:** Sir,  I know you're angry, but throwing that around isn’t going to solve anything.  Just put it down slowly. We can talk about this.  Let's cooperate here.

**John Smith:** (Lowering his voice slightly, still agitated)  She’s been messing with me!  For weeks!

**(00:00:45)  John Smith hesitates, staring at the ground. He clenches his jaw.**

**Officer Miller:** Sir, I want to help.  But I need you to put the chair leg down first.  Then, we can talk about what’s happening.  No sudden movements, please.

**(00:00:55) John Smith slowly places the broken chair leg on the ground, several feet away. He’s still visibly angry, but his movements are less erratic.**

**Officer Miller:** Good. That's good. Thank you for that. Now, can you tell me what happened?

**John Smith:** (Sighs deeply)  She... she... started it.  It was an argument... about money...

**(00:01:10) [Sound of a woman's voice, muffled but less distressed.]**

**Officer Miller:** Okay.  I’m going to need to speak to her as well.  Can you please step away from the door so I can talk to her?

**John Smith:** (Reluctantly steps aside) Fine. But...

**(00:01:20) Officer Miller approaches the door, speaking briefly to the woman inside.  She appears shaken but unharmed.  The officer then returns to John Smith.)**

**Officer Miller:** Sir,  we’re going to need you to stay here while we investigate.  We’ll be speaking with both of you.  This is not an arrest, just an investigation into the incident.

**(00:01:35)  [Sound of backup officers arriving.]**

**Officer Miller:**  Backup is here, we’ll handle it from here. Thank you for cooperating.


**(End of Transcript)**
"
Suspicious Person,Raised Voice,Threatened Officer,Verbal Warning,Firearm,Escalated to Force,"**Bodycam Transcript - Incident #2023-10-27-042**

**Officer:** Officer Miller, Badge #472

**Date:** October 27, 2023

**Time:** 23:47:12

**(00:00:00) [Ambient city noise: distant traffic, crickets]**

**00:00:15** Officer Miller: (approaching subject)  Sir, can I talk to you for a second?  You're on private property after hours.

**00:00:20** Subject: (muttering, unclear)  Mind your own business.

**00:00:25** Officer Miller: Sir, I need you to put your hands where I can see them.  This is a private residence, and you're trespassing.

**(00:00:30) [Sound of rustling; possible object shifting]**

**00:00:32** Subject:  (Voice raised) Get away from me!  I got something for you!

**(00:00:35) [Officer Miller draws weapon, audible click of safety]**

**00:00:37** Officer Miller: (voice raised, but controlled)  Sir, I'm ordering you to drop whatever you have in your hands and get on the ground!  Now!

**00:00:40** Subject: (Screaming)  I'll fucking kill you, pig!  You won't take me alive!

**(00:00:45) [Sounds of struggle, grunting, and shouting.  Sound of what appears to be a small object hitting the ground]**

**00:00:50** Officer Miller: (shouting over the sounds of the struggle) Get on the ground!  Get on the ground, now!

**(00:00:55) [More sounds of struggle.  A thud.  Gasps for air]**

**00:01:00** Officer Miller: (breathing heavily)  Suspect is in custody.  Requesting backup and paramedics.  Suspect was armed with what appears to be a small, metal pipe.  He resisted arrest and became combative.  Requesting medical attention for minor injuries to my left arm.  Repeating, requesting backup and paramedics.


**(00:01:15)  [Sounds of sirens approaching.  Further commands given to suspect, inaudible due to distance and the sound of sirens.]**

**00:01:30** Officer Miller: (To another officer arriving on scene)  He had a pipe.  Threatened me, resisted arrest.  Got him down, but he fought back.  He's under control now.

**(00:01:40) [Remaining footage is mostly static as backup arrives and medical personnel tend to the subject and the officer.]**

**END OF TRANSCRIPT**
"
Suspicious Person,Pointed Weapon,Armed and Hostile,Empathy Statements,Blunt Object,Arrested Peacefully,"**Bodycam Transcript - Incident #20231027-047**

**Officer:** Officer Miller, Badge #472

**Date:** October 27, 2023

**Time:** 22:45:00

**(00:00:00) [SOUND: Siren slowly fading, distant traffic noise]**

**Officer Miller:** Dispatch, Unit 472, arriving at reported suspicious person, 14 Elm Street.

**(00:00:15) [SOUND: Footsteps on pavement, rustling leaves]**

**Officer Miller:** (Approaching subject) Sir, can I speak with you for a moment?  Please keep your hands where I can see them.

**(00:00:20) [SOUND: Subject grunting, object shifting]**

**Subject:** (Mumbling)  Go away... leave me alone...

**Officer Miller:** Sir, I understand you might be upset, but I need to ask you some questions. Can you please show me your hands?

**(00:00:25) [SOUND: Subject shuffling, heavy breathing]**

**Officer Miller:** (Drawing weapon, aiming low) Sir, I'm going to ask you again, slowly and calmly, to show me your hands. I see something in your hands. I don't want to hurt you, but I need to ensure my safety and yours.

**(00:00:30)  [SOUND: Click of safety being released on firearm.  Subject stops moving]**

**Subject:** (Voice trembling)  It's... it's just... a pipe.

**(00:00:35) Officer Miller:** Okay, sir.  I see a pipe. I understand you may be having a rough night. A lot of people find themselves in difficult situations.  Can you slowly place the pipe on the ground?

**(00:00:40) [SOUND: Pipe hitting the ground]**

**Subject:** (Voice strained)  I... I just lost my job.  Everything's falling apart...

**Officer Miller:** I'm sorry to hear that, sir. Losing a job is incredibly stressful.  Can you understand why I needed to approach you with caution? I was just trying to keep both of us safe.

**(00:00:50)  [SOUND: Officer holstering weapon]**

**Officer Miller:** Now, can you tell me your name and date of birth, please?

**(00:00:55) Subject:** (Hesitantly)  John Doe, July 14th, 1985.

**Officer Miller:** Thank you, John.  We're going to get you some help. Is there anyone I can call for you?  A family member, a friend?

**(00:01:05) [SOUND: Police radio chatter in background]**

**Subject:**  No... Nobody...

**(00:01:10) Officer Miller:** Okay.  Backup is on its way.  They will be able to assist you with getting the support you need.  Just keep your hands where I can see them please.

**(00:01:20) [SOUND: Footsteps approaching, additional officers arriving]**

**Officer Miller:** (To backup) He’s cooperating.  He was armed with a pipe but has relinquished it.  Needs support services.


**(00:01:30) [SOUND: Handcuffs clicking]**

**Officer Miller:** (To subject)  Okay, John, you’re going to be handcuffed now for your safety and ours.  It's just a precaution.

**(00:01:45) [SOUND: Continued police radio chatter, traffic noise]**

**Officer Miller:** Okay, we're going to get you to the station.  We'll get you some help.


**(End of Transcript)**
"
Welfare Check,Requested Backup,Threatened Officer,Verbal Warning,Taser,Not Injured,"**Bodycam Transcript - Incident #20231027-0412**

**Officer:** Officer Miller, Badge #472

**Date:** October 27, 2023

**Time:** 22:15:00

**(00:00:00) Audio: Ambient street noise, distant sirens.**

**Officer Miller:** (Knocking on door)  Welfare check at 14 Elm Street.  Dispatch, this is Miller, can you confirm the address and subject’s name?

**(00:00:07) Dispatch (Radio):** Affirmative, Miller, address confirmed. Subject is reported to be John Davies.  He's exhibiting erratic behavior per the caller.  Be advised.

**(00:00:15) Door opens.  John Davies is visible, appears agitated, eyes bloodshot.  Audio: Dog barking in the background.**

**Officer Miller:**  Evening, sir.  I’m Officer Miller with the city police. We received a call expressing concern for your wellbeing.  Everything alright?

**John Davies:** (Slurred speech)  Mind your own damn business, pig.  Get off my property!

**(00:00:25)  Audio: John Davies slams the door partially shut.  Dog barking intensifies.**

**Officer Miller:** Sir, please open the door. We just want to make sure you’re okay.

**(00:00:32) John Davies opens the door slightly again, holding a broken beer bottle.**

**John Davies:** I told you to get lost!  One step closer, and I’ll... I’ll...

**(00:00:38) Officer Miller:** Sir, put down the bottle.  This isn’t going to help anyone.  You're clearly upset, but we can help.  Just put the bottle down.

**(00:00:45) Officer Miller (to radio):** Dispatch, requesting backup at 14 Elm Street.  Subject is agitated, possibly intoxicated, and currently brandishing a broken bottle.

**(00:00:50) Audio:  Sirens approaching in the distance. John Davies takes a step towards Officer Miller, raising the bottle slightly.**

**Officer Miller:**  Sir, I'm going to give you one warning. Put the bottle down.  Now.

**(00:01:02) John Davies:** (Muttering incoherently, swings the bottle slightly.)

**(00:01:05) Officer Miller draws her taser.**

**Officer Miller:**  Taser!  Taser!  I'm going to deploy my taser if you don’t drop that bottle immediately.

**(00:01:08) John Davies drops the bottle.  Audio:  The sound of the bottle hitting the ground.**

**(00:01:12)  Audio:  Sounds of police backup arriving.**

**Officer Miller:** (To John Davies) Okay, sir. Put your hands where I can see them.   Slowly.

**(00:01:20)  Two more officers arrive. John Davies is compliant and is subsequently taken into custody without further incident.**

**(00:01:45) Officer Miller (to radio):**  Dispatch, subject is in custody.  Requesting paramedics for evaluation. No injuries reported.  Backup units can clear the scene.


**(End of Transcript)**
"
Traffic Stop,Verbal Commands,Aggressive,Calming Language,Knife,Injured,"**Bodycam Transcript - Incident #2023-10-27-0042**

**Officer:** Officer Miller, Badge #472

**Date:** October 27, 2023

**Time:** 22:45

**(00:00:00) [SOUND of siren and car slowing]**

**(00:00:05) Officer Miller:** Sir, pull over to the side of the road.  License and registration, please.

**(00:00:10) Subject (mumbling angrily):**  What the hell...?  I ain't doing nothin'.

**(00:00:15) Officer Miller:**  Sir, I observed a traffic violation. License and registration, please.  Keep your hands visible.

**(00:00:20) [SOUND of car door slamming]**

**(00:00:22) Subject:**  You ain't gonna find nothin'!  This is harassment!

**(00:00:25) Officer Miller:**  Sir, please remain calm.  Just show me your license and registration.  I'm just doing my job.

**(00:00:30) Subject:** (Loudly)  Job?  You think this is a game?  You’re picking on me!  (Reaches into his pocket)

**(00:00:32) Officer Miller:**  Sir!  Hands where I can see them!  Stop!

**(00:00:34) [SOUND of rustling, a metallic clink]**

**(00:00:35) Officer Miller:**  Sir, I see a knife.  Drop the knife!  Drop it now!

**(00:00:37) Subject:** (Screaming)  Get away from me!  (Lunges towards Officer Miller)

**(00:00:38) [SOUND of struggle, grunting]**

**(00:00:40) Officer Miller:**  (Slightly breathless)  Get on the ground!  Get on the ground now!  (Taser deployment sound)

**(00:00:42) [SOUND of impact, a cry of pain]**

**(00:00:45) Officer Miller:**  (Breathing heavily)  Dispatch, dispatch!  Officer needs immediate backup!  10-31, 10-31, subject armed with a knife, officer injured, Main Street and Elm.  Repeat, 10-31...  (Coughing)

**(00:00:50) [SOUND of sirens approaching, shouts in the background]**

**(00:00:55) Officer Miller:**  (To approaching officers)  He’s got a knife. He lunged at me. I had to use my taser.  I'm injured, my arm...

**(00:01:00) [SOUND of further officer activity, muffled conversation]**

**(00:01:15) Officer Miller:** (Speaking faintly)  ...need medical...


**(End of Transcript)**
"
Welfare Check,Used Calm Tone,Attempted to Flee,Calming Language,Taser,Injured,"**Bodycam Transcript - Incident #WC23-10-27**

**Date:** October 27, 2023
**Time:** 22:45:00
**Officer:** Officer Miller, Badge #472

**(00:00:00)  Ambient sounds of crickets and distant traffic.**

**Officer Miller:** (Approaching residence, knocking on the door)  Officer Miller, with the Metro Police Department. We've received a welfare check on this residence. Can someone please come to the door?

**(00:00:15) Door opens slightly, revealing a disheveled individual, later identified as John Doe.**

**John Doe:** (Muttering, voice strained)  Go away... leave me alone...

**Officer Miller:** (Calm, low tone) Sir, I understand you might be upset, but we’re here to make sure you’re alright.  We received a call expressing concern for your wellbeing.

**(00:00:25) John Doe attempts to slam the door shut.**

**Officer Miller:** (Quickly) Sir, wait!  Please, let me help.  We just want to check on you.  Everything will be alright.

**(00:00:30) Officer Miller wedges his foot in the doorway, preventing the door from closing completely.  Sounds of struggling.**

**John Doe:** (Panicked) Get away from me!  I don't need your help!

**(00:00:35) John Doe pushes past Officer Miller, running towards the back of the house.  Sounds of furniture scraping against the floor.**

**Officer Miller:** (Calling out) Sir! Stop! Police!

**(00:00:40)  Officer Miller pursues John Doe.  Sounds of heavy breathing and hurried footsteps.**

**Officer Miller:** (Maintaining calm tone) Sir, please stop running.  We just want to talk.  There's no need for this. We're here to help.

**(00:00:45) John Doe reaches a back door and tries to open it. It's locked.**

**John Doe:** (Screaming)  Let me out!

**Officer Miller:** (Slightly raising voice, but still controlled) Sir, I need you to calm down.  Put your hands where I can see them.

**(00:00:50) John Doe turns, appearing agitated and disoriented. He makes a sudden lunging motion towards Officer Miller.**

**Officer Miller:** (Draws taser) Taser! Taser! Drop to the ground!

**(00:00:52)  Sound of taser deployment. A brief scream from John Doe.**

**(00:00:55) John Doe falls to the ground.  Sounds of him groaning.**

**Officer Miller:** (Calling for backup)  Dispatch, Code 3, 10-31, Welfare Check gone bad, need backup and medical at [address]. Subject down.  Taser deployed.  Possible injury.

**(00:01:00)  Sounds of sirens approaching.  Officer Miller approaches John Doe cautiously, checking for injuries and assessing his condition.**


**Officer Miller:** (To John Doe) Sir, are you alright?  Can you tell me your name?  Help is on the way.

**(00:01:15)  Further dialogue is unintelligible due to arriving backup officers and paramedics.**
**(End of Transcript)**
"
